,name_eng,city_eng,country_eng,latitude,longitude
1937,Daru,Daru,Sierra Leone,7.983,-10.85
1938,Des Moines International,"Des Moines, IA",United States,41.533972,-93.663083
1939,Dongsheng,Dongsheng,China,39.85,110.033
1940,Dansville,Dansville,United States,42.5709,-77.713051
1941,Delta,Delta,United States,39.380639,-112.507715
1942,Datadawai,Datadawai,Indonesia,0.717,116.483
1943,Camarines Norte,Daet,Philippines,14.129167,122.980181
1944,Death Valley,Death Valley,United States,36.45222222,-116.8691667
1945,Municipal,Detroit Lakes,United States,46.825167,-95.885583
1946,Dortmund,Dortmund,Germany,51.518314,7.612242
1947,Shreveport Downtown,"Shreveport, LA",United States,32.540219,-93.745023
1948,Decatur Island,Decatur Island,United States,42.21861111,-83.34833333
1949,Detroit Metropolitan Wayne County,"Detroit, MI",United States,42.212444,-83.353389
1950,Eaker,Durant,United States,33.942267,-96.394531
1951,Dublin,Dublin,Ireland,53.421389,-6.27
1952,Halliburton Field,Duncan,United States,34.471306,-97.959861
1953,Dunedin International,Dunedin,New Zealand,-45.928056,170.198333
1954,Dundo,Dundo,Angola,-7.400892,20.818481
1955,Pine Island Airport,"Corolla, NC",United States,36.253495,-75.788524
1956,Bisbee-Douglas Intl,Douglas,United States,31.469028,-109.603667
1957,Du Bois-Jefferson County,Du Bois,United States,41.178278,-78.898694
1958,Dukuduk,Dukuduk,South Africa,-28.368416,32.248137
1959,Pinang Kampai,Dumai,Indonesia,1.609194,101.433558
1960,Dundas,Dundas,Greenland,76.567,-68.8
1961,Duncan/Quam,Duncan/Quam,Canada,48.749714,-123.718056
1962,Durban International,Durban,South Africa,-29.614444,31.116389
1963,Dьsseldorf International Airport (rhein-ruhr),Dusseldorf,Germany,51.289453,6.766775
1964,Emergency Field,Dutch Harbor,United States,53.900139,-166.5435
1965,Deva,Deva,Romania,45.883,22.9
1966,Diavik,Diavik,Canada,37.577575,-84.769498
1967,Devils Lake,Devils Lake,United States,48.114583,-98.908333
1968,Davenport,Davenport,United States,41.610278,-90.588361
1969,Francisco Bangoy International,Davao,Philippines,7.125522,125.645778
1970,Davenport Downs,Davenport Downs,Australia,-24.146,141.112
1971,Daly River,Daly River,Australia,-13.75,130.693889
1972,Phoenix Deer Valley Airport,Phoenix,United States,33.688306,-112.082556
1973,Dwangwa,Dwangwa,Malawi,-12.518333,34.131944
1974,Soalala,Soalala,Madagascar,-16.100833,45.356667
1975,Dawadmi,Dawadmi,Saudi Arabia,24.5,44.4
1976,Wright AFB,Dayton,Canada,46.23333333,-83.33333333
1977,David Wayne Hooks,Houston,United States,30.061833,-95.552778
1978,Downtown Airpark,Oklahoma City,United States,35.449227,-97.533094
1979,Walt Disney World,Orlando,United States,28.419444,-81.581111
1980,Deux Alpes,Deux Alpes,France,48.15,-0.55
1981,Dubai,Dubai,United Arab Emirates,25.252778,55.364444
1982,Dixie,Dixie,Australia,-15.117778,143.313611
1983,Danbury Municipal Airport,"Danbury, CT",United States,41.371535,-73.482191
1984,Dysart,Dysart,Australia,-22.622222,148.363889
1985,Dayong,Dayong,China,29.102778,110.443333
1986,Doylestown,Doylestown,United States,40.33305,-75.122338
1987,Diamantina Lakes,Diamantina Lakes,Australia,-23.761667,141.144722
1988,Ugolniy,Anadyr,Russian Federation,64.73495,177.741483
1989,Dyess AFB,Abilene,United States,32.419784,-99.855383
1990,Dushanbe,Dushanbe,Tajikistan,38.543333,68.825
1991,Daly Waters,Daly Waters,Australia,-16.264721,133.383333
1992,Dzaoudzi,Dzaoudzi,Comoros,-12.806667,45.280556
1993,Codazzi,Codazzi,Colombia,9.917,-73.25
1994,Zhezhazgan,Zhezkazgan,Kazakhstan,47.708333,67.733333
1995,Santa Bernardina,Durazno,Uruguay,-33.358866,-56.499172
1996,Dazu,Dazu,China,29.636389,105.773611
1997,Eagle,Eagle,United States,64.778082,-141.149611
1998,Abbse,Abbse,Yemen,15.3,43.967
1999,Emae,Emae,Vanuatu,-17.090278,168.342778
2000,Elenak,Kwajalein Atoll,Marshall Islands,9.083333333,167.3333333
2001,Nejran,Nejran,Saudi Arabia,17.611436,44.419169
2002,Phifer Field,Wheatland,United States,42.055528,-104.928611
2003,Kearney,Kearney,United States,40.727028,-99.006778
2004,Donostia - San Sebastian,San Sebastian,Spain,43.356519,-1.790611
2005,Pangborn Field,Wenatchee,United States,47.398089,-120.205737
2006,Chippewa Valley Regional Airport,"Eau Claire, WI",United States,44.865805,-91.484255
2007,Marina Di Campo,Elba Island,Italy,42.760277,10.239445
2008,Entebbe,Entebbe,Uganda,0.042386,32.443503
2009,El Obeid,El Obeid,Sudan,13.153219,30.232675
2010,El Bagre,El Bagre,Colombia,7.596469,-74.808942
2011,Esbjerg,Esbjerg,Denmark,55.525942,8.553403
2012,El Borma,El Borma,Tunisia,31.704281,9.254619
2013,Ebadon,Ebadon,Marshall Islands,9.330556,166.819722
2014,Ebon Airport,Ebon,Marshall Islands,4.598333,168.752222
2015,Downtown,Baton Rouge,Central African Republic,6.45,17.36666667
2016,Municipal,Webster City,United States,42.4365,-93.869056
2017,Boutheon,St Etienne,France,45.53405,4.297311
2018,Ebolowa,Ebolowa,Cameroon,2.876,11.185
2019,Emmet County Airport,East Tawas,United States,44.312822,-83.422304
2020,Elizabeth City,"Elizabeth City, NC",United States,36.260581,-76.174572
2021,Echuca,Echuca,Australia,-36.157222,144.761944
2022,Ercan,Lefkosa,Cyprus,35.154722,33.496111
2023,El Encanto,El Encanto,Colombia,-1.5,-73.5
2024,El Charco,El Charco,Colombia,2.5,-78.167
2025,Mondell,Newcastle,United States,43.885451,-104.317918
2026,Edna Bay,Edna Bay,United States,55.954,-133.658
2027,Eldebba,Eldebba,Sudan,18.024998,30.958334
2028,Erldunda,Erldunda,Australia,-25.205833,133.254167
2029,Municipal,Edenton,United States,36.027734,-76.567092
2030,Elmendorf Afb,Anchorage,United States,61.251347,-149.806514
2031,Weide AAF,Edgewood,United States,39.392052,-76.291068
2032,Turnhouse,Edinburgh,United Kingdom,55.95,-3.3725
2033,El Dorado,El Dorado,United States,37.774111,-96.817722
2034,Eldoret,Eldoret,Kenya,0.404458,35.238928
2035,Les Ajoncs,La Roche,France,46.702383,-1.381758
2036,Edremit/korfez,Edremit/korfez,Turkey,39.554589,27.013833
2037,Erandique,Erandique,Honduras,14.233,-88.433
2038,Edward River,Edward River,Australia,-14.896667,141.609444
2039,Edwards AFB,Edwards AFB,United States,34.908558,-117.883769
2040,Needles,Needles,United States,34.766347,-114.62328
2041,Eek,Eek,United States,60.213671,-162.043893
2042,Dillant-Hopkins,Keene,United States,42.898389,-72.270778
2043,Eight Fathom Bight,Eight Fathom Bight,United States,58,-135.7333333
2044,Ellington Field,Houston,United States,29.607333,-95.15875
2045,Efogi,Efogi,Papua New Guinea,-9.15,147.65
2046,Newport,Newport,United States,44.888797,-72.229158
2047,Kefalonia Istland International Airport,Kefalonia,Greece,38.120069,20.500481
2048,East Fork,East Fork,United States,0,0
2049,Municipal,Jefferson,United States,42.010583,-94.342361
2050,Engati,Engati,Papua New Guinea,-6.917,146.1
2051,Roumanieres,Bergerac,France,44.824431,0.520525
2052,Eagle County,Vail/Eagle,United States,39.642761,-106.915935
2053,Duke Field,Valparaiso,United States,30.650343,-86.52289
2054,Neghelli,Neghelli,Ethiopia,5.283,39.75
2055,Sege,Sege,Solomon Islands,-8.578889,157.875833
2056,Geneina,Geneina,Sudan,13.481667,22.467222
2057,Belgorod,Belgorod,Russian Federation,50.643764,36.590125
2058,Maverick Co,Eagle Pass,United States,28.857093,-100.513468
2059,Egilsstadir,Egilsstadir,Iceland,65.283333,-14.401389
2060,Eagle River,Eagle River,United States,45.932333,-89.268278
2061,Egegik,Egegik,United States,58.18549,-157.375428
2062,El Bolson,El Bolson,Argentina,-41.943189,-71.532289
2063,Cape Newenham,Cape Newenham,United States,58.646429,-162.062777
2064,Rentschler,East Hartford,United States,41.753333,-72.628333
2065,Popondetta,Eia,Papua New Guinea,-8.117,147.633
